Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
betting_5000,,,2018-11-27 16:37:17,2018-11-27 16:37:22,4.951s,PASSED
,,,,,,
Test Cases/Betting_5000,,,2018-11-27 16:37:17,2018-11-27 16:37:18,0.808s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(betting)),,,2018-11-27 16:37:18,2018-11-27 16:37:18,0.346s,PASSED
verifyResponseStatusCode,,,2018-11-27 16:37:18,2018-11-27 16:37:18,0.017s,PASSED
verifyElementPropertyValue,,,2018-11-27 16:37:18,2018-11-27 16:37:18,0.063s,PASSED
,,,,,,
Test Cases/Betting_5000,,,2018-11-27 16:37:18,2018-11-27 16:37:18,0.180s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(betting)),,,2018-11-27 16:37:18,2018-11-27 16:37:18,0.126s,PASSED
verifyResponseStatusCode,,,2018-11-27 16:37:18,2018-11-27 16:37:18,0.003s,PASSED
verifyElementPropertyValue,,,2018-11-27 16:37:18,2018-11-27 16:37:18,0.016s,PASSED
,,,,,,
Test Cases/Betting_5000,,,2018-11-27 16:37:18,2018-11-27 16:37:18,0.197s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(betting)),,,2018-11-27 16:37:18,2018-11-27 16:37:18,0.130s,PASSED
verifyResponseStatusCode,,,2018-11-27 16:37:18,2018-11-27 16:37:18,0.002s,PASSED
verifyElementPropertyValue,,,2018-11-27 16:37:18,2018-11-27 16:37:18,0.035s,PASSED
,,,,,,
Test Cases/Betting_5000,,,2018-11-27 16:37:18,2018-11-27 16:37:19,0.169s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(betting)),,,2018-11-27 16:37:18,2018-11-27 16:37:19,0.126s,PASSED
verifyResponseStatusCode,,,2018-11-27 16:37:19,2018-11-27 16:37:19,0.001s,PASSED
verifyElementPropertyValue,,,2018-11-27 16:37:19,2018-11-27 16:37:19,0.018s,PASSED
,,,,,,
